Date,Price,Open,High,Low,Volume,Close
10/22/2020,12974.60,12805.50,13183.90,12698.20,7931218996.00,12941.05
10/21/2020,12808.70,11913.60,13213.50,11894.60,8301309684.00,12554.05
10/20/2020,11913.50,11753.90,12029.40,11685.70,8399767798.00,11857.55
10/19/2020,11753.40,11507.10,11823.30,11413.90,7661247975.00,11618.60
10/18/2020,11506.90,11362.10,11506.90,11349.80,7578786076.00,11428.35
10/17/2020,11362.10,11321.80,11402.70,11274.40,7253558152.00,11338.55
10/16/2020,11322.00,11503.20,11542.20,11224.60,9029175788.00,11383.40
10/15/2020,11503.00,11421.40,11590.90,11276.70,10174126415.00,11433.80
10/14/2020,11420.40,11424.40,11541.00,11293.50,9175291529.00,11417.25
10/13/2020,11423.80,11533.50,11558.00,11315.90,9584165519.00,11436.95
10-12-2020,11533.90,11370.80,11715.90,11227.40,10638638944.00,11471.65
10-11-2020,11371.00,11295.60,11439.40,11277.60,10796103518.00,11358.50
10-10-2020,11298.40,11053.50,11475.00,11053.10,9713267607.00,11264.05
10-09-2020,11054.20,10923.50,11103.00,10836.90,10125901903.00,10969.95
10-08-2020,10924.10,10670.70,10948.60,10549.60,9809887079.00,10749.10
10-07-2020,10670.90,10601.00,10680.10,10553.30,9469184841.00,10616.70
10-06-2020,10602.60,10790.20,10800.30,10530.80,10480789570.00,10665.55
10-05-2020,10789.50,10672.50,10789.60,10623.40,9394210605.00,10706.50
10-04-2020,10672.90,10544.40,10693.30,10520.80,9856166973.00,10607.05
10-03-2020,10544.20,10572.20,10597.80,10501.20,8221625400.00,10549.50
10-02-2020,10572.30,10619.60,10662.90,10387.60,9646954186.00,10525.25
10-01-2020,10620.50,10776.60,10913.70,10462.70,9344919956.00,10688.20
09/30/2020,10776.10,10843.40,10847.70,10667.60,10175916388.00,10757.65
09/29/2020,10840.90,10694.30,10858.40,10642.40,10831212662.00,10750.40
09/28/2020,10693.20,10776.40,10946.60,10685.20,9252935969.00,10815.90
09/27/2020,10776.20,10727.90,10799.20,10602.70,9578850549.00,10700.95
09/26/2020,10727.90,10688.90,10793.30,10650.20,9144851065.00,10721.75
09/25/2020,10688.80,10739.90,10756.00,10558.90,10359818883.00,10657.45
09/24/2020,10739.40,10238.10,10787.80,10201.00,10707678815.00,10494.40
09/23/2020,10237.30,10531.50,10535.40,10146.60,10897131934.00,10341.00
09/22/2020,10531.50,10419.40,10570.70,10361.70,9353915899.00,10466.20
09/21/2020,10416.80,10919.90,10987.20,10328.50,10918665557.00,10657.85
09/20/2020,10921.50,11081.60,11081.60,10772.70,9732688060.00,10927.15
09/19/2020,11081.80,10933.00,11177.10,10890.70,9045122443.00,11033.90
09/18/2020,10933.00,10941.30,11029.70,10818.70,10157794171.00,10924.20
09/17/2020,10941.30,10950.10,11039.30,10755.20,21315047816.00,10897.25
09/16/2020,10949.50,10785.20,11093.30,10669.20,22899891582.00,10881.25
09/15/2020,10785.30,10675.20,10931.80,10627.80,18251810240.00,10779.80
09/14/2020,10675.30,10332.70,10744.30,10264.50,16837325387.00,10504.40
09/13/2020,10326.00,10441.70,10579.60,10219.40,16929795194.00,10399.50
09-12-2020,10441.90,10390.20,10476.80,10275.90,16655416140.00,10376.35
09-11-2020,10390.20,10339.80,10398.80,10212.60,17154113634.00,10305.70
09-10-2020,10339.70,10224.30,10480.30,10219.20,14722104361.00,10349.75
09-09-2020,10224.60,10126.80,10343.30,9984.60,15504590933.00,10163.95
09-08-2020,10126.60,10376.90,10434.40,9877.10,16555616019.00,10155.75
09-07-2020,10376.90,10296.40,10400.90,9887.00,13675206312.00,10143.95
09-06-2020,10296.40,10092.20,10337.70,10004.70,10823289598.00,10171.20
09-05-2020,10092.20,10472.30,10558.70,9897.80,10391952498.00,10228.25
09-04-2020,10472.50,10168.70,10614.20,9960.30,12290155061.00,10287.25
09-03-2020,10168.80,11413.20,11442.70,10009.50,11618660197.00,10726.10
09-02-2020,11413.30,11914.40,11947.50,11244.90,12438480677.00,11596.20
09-01-2020,11914.90,11644.20,12045.90,11544.60,13256489918.00,11795.25
08/31/2020,11644.20,11701.10,11760.20,11563.80,13780238655.00,11662.00
08/30/2020,11702.00,11468.10,11704.20,11462.60,13169647522.00,11583.40
08/29/2020,11468.10,11527.80,11576.80,11433.50,13731844223.00,11505.15
08/28/2020,11527.40,11327.50,11539.00,11281.90,14601631648.00,11410.45
